ID,Torneo,ANHO,SEDE,Grupo_analisis,SEDE_NUM,Goles_Peru ,Goles_contr,Resultado_g2_e1_p0,Peru_disp_gen,Peru_disp_arco,Peru_disp_afuera,Peru_disp_palo,Peru_tiros_totales,Disp_contr_gen,Disp_contra_arco,Disp_contra_afuera,Disp_contra_palo,Disp_contra_total,Peru_pases_tot,Peru_correctos_tot,Peru_incorrectos_tot,Pases_efectiv,Contr_pases_tot,Contr_correctos_tot,Contr_incorrectos_tot,Contr_efectiv,Peru_recupero,Contr_recupero,Peru_faltas,Contr_faltas,Peru_goles1er tiempo,Peru_goles2do tiempo,Contr_goles1er tiempo,Contr_goles2do tiempo,Peru_min_1er_gol,Peru_min_2do_gol,Peru_min_3er_gol,Peru_min_4to_gol,Contr_min_1er_gol,Contr_min_2do_gol,Contr_min_3er_gol,Contr_min_4to_gol,Contr_min_5to_gol,Peru_posesion,Contr_posesion,Posiciones,Puntos,Goles_dentro_area,Goles_fuera_area
1,Eliminatorias_Rusia2018,2015,V,0,2,0,2,0,5,2,2,1,5,9,4,3,0,9,339,297,42,0.88,300,279,21,0.93,56,46,12,20,0,0,1,1,,,,,35,90,,,,0.53,0.47,7,0,0,0
2,Eliminatorias_Rusia2018,2015,L,0,1,3,4,0,9,2,4,0,9,12,4,4,0,12,309,293,16,0.95,263,249,14,0.95,21,25,6,12,2,1,3,1,9,35,90,,6,40,43,,,0.52,0.48,8,0,3,0
3,Eliminatorias_Rusia2018,2015,L,0,1,1,0,2,8,2,5,0,8,4,2,2,0,4,387,322,65,0.92,241,159,82,0.87,54,36,8,13,1,0,0,0,19,,,,,,,,,0.59,0.41,8,3,1,0
4,Eliminatorias_Rusia2018,2015,V,0,2,0,3,0,9,4,5,0,9,15,3,8,1,15,483,411,72,0.85,403,368,35,0.91,35,19,16,12,0,0,1,2,,,,,21,57,76,,,0.53,0.47,9,3,0,0
5,Eliminatorias_Rusia2018,2016,L,0,1,2,2,1,14,4,7,1,14,8,5,1,0,8,435,400,35,0.92,270,236,34,0.87,13,8,16,11,0,2,1,1,60,90,,,31,56,,,,0.6,0.4,8,4,1,1
6,Eliminatorias_Rusia2018,2016,V,0,2,0,1,0,8,3,5,0,8,14,5,6,2,14,327,292,35,0.89,350,303,47,0.87,16,13,11,7,0,0,0,1,,,,,52,,,,,0.49,0.51,8,4,0,0
7.1,Eliminatorias_Rusia2018,2016,V,1,2,0,2,0,7,4,3,0,7,8,4,4,0,8,261,206,62,0.79,291,229,55,0.79,17,3,14,21,0,0,1,1,,,,,37,87,,,,0.5,0.5,8,4,0,0
7,Eliminatorias_Rusia2018,2016,V,1,2,3,0,2,3,,,,3,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,7,,
8,Eliminatorias_Rusia2018,2016,L,1,1,2,1,2,12,6,4,0,12,7,3,3,0,7,230,161,69,0.7,311,234,77,0.75,13,13,9,18,1,1,1,0,19,77,,,29,,,,,0.45,0.55,8,10,2,0
9,Eliminatorias_Rusia2018,2016,L,1,1,2,2,1,19,4,13,0,19,9,4,3,0,9,279,232,47,0.83,384,338,46,0.88,26,19,11,15,0,2,1,1,57,83,,,15,76,,,,0.46,0.54,8,11,2,0
