Partidos,Entrenador_1998,Entrenador_2002,Entrenador_2006,Entrenador_2010,Entrenador_2014,Entrenador_2018,Peru_g2_e1_p0_98,Peru_g2_e1_p0_2002,Peru_g2_e1_p0_2006,Peru_g2_e1_p0_2010,Peru_g2_e1_p0_2014,Peru_g2_e1_p0_2018,Puntos_98,Puntos_2002,Puntos_2006,Puntos_2010,Puntos_2014,Puntos_2018
1,Oblitas,Maturana-Uribe,Autori-Ternero,Del Solar,Markarian,Gareca,0,2,2,1,2,0,0,3,3,1,3,0
2,Oblitas,Maturana-Uribe,Autori-Ternero,Del Solar,Markarian,Gareca,1,1,0,0,0,0,1,4,3,1,3,0
3,Oblitas,Maturana-Uribe,Autori-Ternero,Del Solar,Markarian,Gareca,1,0,1,1,,2,2,4,4,2,3,3
4,Oblitas,Maturana-Uribe,Autori-Ternero,Del Solar,Markarian,Gareca,1,0,1,0,0,0,3,4,5,2,3,3
5,Oblitas,Maturana-Uribe,Autori-Ternero,Del Solar,Markarian,Gareca,,0,0,1,0,1,3,4,5,3,3,4
6,Oblitas,Maturana-Uribe,Autori-Ternero,Del Solar,Markarian,Gareca,2,1,0,0,0,0,6,5,5,3,3,4
7,Oblitas,Maturana-Uribe,Autori-Ternero,Del Solar,Markarian,Gareca,0,2,1,2,2,2,6,8,6,6,6,7
8,Oblitas,Maturana-Uribe,Autori-Ternero,Del Solar,Markarian,Gareca,2,0,0,1,1,2,9,8,6,7,7,10
9,Oblitas,Maturana-Uribe,Autori-Ternero,Del Solar,Markarian,Gareca,0,0,0,0,1,1,9,8,6,7,8,11
10,Oblitas,Maturana-Uribe,Autori-Ternero,Del Solar,Markarian,Gareca,1,0,1,0,0,0,10,8,7,7,8,11
11,Oblitas,Maturana-Uribe,Autori-Ternero,Del Solar,Markarian,Gareca,2,2,2,0,2,2,13,11,10,7,11,14
12,Oblitas,Maturana-Uribe,Autori-Ternero,Del Solar,Markarian,Gareca,0,1,0,0,,0,13,12,10,7,11,14
13,Oblitas,Maturana-Uribe,Autori-Ternero,Del Solar,Markarian,Gareca,2,0,1,0,2,1,16,12,11,7,14,15
14,Oblitas,Maturana-Uribe,Autori-Ternero,Del Solar,Markarian,Gareca,,2,0,0,0,2,16,15,11,7,14,18
15,Oblitas,Maturana-Uribe,Autori-Ternero,Del Solar,Markarian,Gareca,2,0,1,2,0,2,19,15,12,10,14,21
16,Oblitas,Maturana-Uribe,Autori-Ternero,Del Solar,Markarian,Gareca,2,0,0,0,0,2,22,15,12,10,14,24
17,Oblitas,Maturana-Uribe,Autori-Ternero,Del Solar,Markarian,Gareca,0,0,0,0,0,1,22,15,12,10,14,25
18,Oblitas,Maturana-Uribe,Autori-Ternero,Del Solar,Markarian,Gareca,2,1,2,2,1,1,25,16,15,13,15,26
