ID,Partidos,Puntos_Peru,Peru_g2_e1_p0,Puntos_Brasil,Brasil_g2_e1_p0,Puntos_Uruguay,Uruguay_g2_e1_p0,Puntos_Chile,Chile_g2_e1_p0,Puntos_Colombia,Colombia_g2_e1_p0,Puntos_Argentina,Argentina_g2_e1_p0,Puntos_Paraguay,Paraguay_g2_e1_p0,Puntos_Ecuador,Ecuador_g2_e1_p0,Puntos_Bolivia,Bolivia_g2_e1_p0,Puntos_Venezuela,Venezuela_g2_e1_p0
1,1,0,0,0,0,3,2,3,2,3,2,0,0,3,2,3,2,0,0,0,0
2,2,0,0,3,2,6,2,6,2,3,0,1,1,4,1,6,2,0,0,0,0
3,3,3,2,4,1,6,0,7,1,4,1,2,1,4,0,9,2,3,2,0,0
4,4,3,0,7,2,9,2,7,0,4,0,5,2,7,2,12,2,3,0,0,0
5,5,4,1,8,1,10,1,7,0,7,2,8,2,8,1,13,1,3,0,1,1
6,6,4,0,9,1,13,2,10,2,10,2,11,2,9,1,13,0,3,0,1,0
7,7,7,2,12,2,13,0,10,0,13,2,14,2,12,2,13,0,3,0,1,0
8,8,10,2,15,2,16,2,13,2,13,0,15,1,12,0,13,0,3,0,2,1
9,9,11,1,18,2,19,2,13,0,16,2,16,1,12,0,16,2,3,0,2,0
10,10,11,0,21,2,20,1,16,2,17,1,16,0,15,2,17,1,4,1,2,0
11,11,14,2,24,2,23,2,17,1,18,1,16,0,15,0,17,0,4,0,5,2
12,12,14,0,27,2,23,0,20,2,18,0,19,2,15,0,20,2,7,2,5,0
13,13,15,1,30,2,23,0,20,0,21,2,22,2,18,2,20,0,7,0,6,1
14,14,18,2,33,2,23,0,23,2,24,2,22,0,18,0,20,0,10,2,6,0
15,15,21,2,36,2,24,1,23,0,25,1,23,1,21,2,20,0,10,0,7,1
16,16,24,2,37,1,27,2,23,0,26,1,24,1,21,0,20,0,13,2,8,1
17,17,25,1,38,1,28,1,26,2,26,0,25,1,24,2,20,0,14,1,9,1
18,18,26,1,41,2,31,2,26,0,27,1,28,2,24,0,20,0,14,0,12,2
