ID,Partidos,Rival,SEDE,NZ_g2_e1_p0,Goles_favor,Goles_contra,Goles_fuera,Goles_area,Goles tiros_libres,Goles_cabeza,Contrario_Goles_fuera,Contrario_Goles_area,Contrario_Goles_cabeza,Penal_favor,Penal_contra
,1,Fiyi,L,2,3,1,0,3,0,0,0,0,0,1,1
,2,Vanuatu,V,2,5,0,0,4,1,0,0,0,0,0,0
,3,Salomon,L,2,1,0,0,0,0,1,0,0,0,0,0
,4,Caledonia,L,2,1,0,0,0,1,0,0,0,0,0,0
,5,Papua,L,1,0,0,0,0,0,0,0,0,0,0,0
,6,Caledonia,L,2,2,0,0,2,0,0,0,0,0,0,0
,7,Caledonia,V,1,0,0,0,0,0,0,0,0,0,0,0
,8,Fiyi,V,2,2,0,0,1,0,0,0,0,0,1,0
,9,Fiyi,L,2,2,0,,1,,,0,0,0,0,0
,10,Salomon,L,2,6,1,2,2,2,0,0,0,0,0,1
,11,Salomon,V,1,2,2,0,2,0,1,0,0,0,0,2
